list_name,name,label,cfac_code,Province,District,Province_code,District_code,CFAC_Name,ao
village_list,AF3008_Choghak_Sangin Shela Mola Shakor Masjid,Sangin Shela Mola Shakor Masjid,AF3008_Choghak,Hilmand,Sangin,AF30,AF3008,Choghak,KANAO
village_list,AF3008_Choghak_Sangin Shela Shair Agha Masjid,Sangin Shela Shair Agha Masjid,AF3008_Choghak,Hilmand,Sangin,AF30,AF3008,Choghak,KANAO
village_list,AF3008_Choghak_Sangin Shela Sharaf Masjid,Sangin Shela Sharaf Masjid,AF3008_Choghak,Hilmand,Sangin,AF30,AF3008,Choghak,KANAO
village_list,AF3008_Choghak_Sangin Shela Wali Jan Masjid,Sangin Shela Wali Jan Masjid,AF3008_Choghak,Hilmand,Sangin,AF30,AF3008,Choghak,KANAO
village_list,AF3008_Khakish_Sangin Shingazo Abdulali Aka Masjid,Sangin Shingazo Abdulali Aka Masjid,AF3008_Khakish,Hilmand,Sangin,AF30,AF3008,Khakish,KANAO
village_list,AF3008_Joshali_Sangin Shingazo Kali Ghani Aka Masjid,Sangin Shingazo Kali Ghani Aka Masjid,AF3008_Joshali,Hilmand,Sangin,AF30,AF3008,Joshali,KANAO
village_list,AF3008_Joshali_Sangin Shingazo Kali Lalmohammad Aka Masjid,Sangin Shingazo Kali Lalmohammad Aka Masjid,AF3008_Joshali,Hilmand,Sangin,AF30,AF3008,Joshali,KANAO
village_list,AF3008_Bostonzai_Sangin Shiraw,Sangin Shiraw,AF3008_Bostonzai,Hilmand,Sangin,AF30,AF3008,bostonzai,KANAO
village_list,AF3008_Karim Kariz_Sangin Shorab,Sangin Shorab,AF3008_Karim Kariz,Hilmand,Sangin,AF30,AF3008,Karim Kariz,KANAO
village_list,AF3008_Karim Kariz_Sangin Shoraw,Sangin Shoraw,AF3008_Karim Kariz,Hilmand,Sangin,AF30,AF3008,Karim Kariz,KANAO
village_list,AF3008_Khakish_Sangin Shoraw,Sangin Shoraw,AF3008_Khakish,Hilmand,Sangin,AF30,AF3008,Khakish,KANAO
village_list,AF3008_Khakish_Sangin Shoraw Abdul Qaum Masjid,Sangin Shoraw Abdul Qaum Masjid,AF3008_Khakish,Hilmand,Sangin,AF30,AF3008,Khakish,KANAO
village_list,AF3008_Khakish_Sangin Shoraw Abdul Rahman Masjid,Sangin Shoraw Abdul Rahman Masjid,AF3008_Khakish,Hilmand,Sangin,AF30,AF3008,Khakish,KANAO
